ax,ay,az,agx,agy,agz,gx,gy,gz,roll,pitch,yaw
-0.60219,0.42258,0.23183,-0.36043,-5.83931,-7.87038,-0.04139,-0.04079,-0.04843,-0.04576,0.63782,-0.21943
-0.77269,0.47251,0.20540,-0.35872,-5.83672,-7.87238,-0.03179,-0.02295,-0.10192,-0.04554,0.63749,-0.22036
-0.90825,0.55945,0.20624,-0.35230,-5.83477,-7.87412,-0.03243,-0.00372,-0.15782,-0.04471,0.63724,-0.22199
-0.92319,0.61393,0.23249,-0.33975,-5.83180,-7.87687,-0.06878,0.05366,-0.22661,-0.04311,0.63686,-0.22438
1.78724,0.34129,0.50707,-0.35356,-5.82207,-7.88346,-0.14044,-0.26766,0.33158,-0.04482,0.63563,-0.22269
3.70468,-1.72224,0.47880,-0.38512,-5.81396,-7.88796,-0.05827,-0.24096,0.09501,-0.04878,0.63460,-0.22071
-0.90971,-0.13956,-0.29432,-0.41623,-5.80809,-7.89070,-0.08254,-0.29846,0.18938,-0.05270,0.63386,-0.21863
0.66554,0.32800,0.57546,-0.44917,-5.79920,-7.89544,-0.12494,-0.31227,0.07588,-0.05683,0.63274,-0.21704
-1.22276,0.10051,0.06328,-0.46635,-5.78883,-7.90205,-0.13142,-0.07427,-0.01734,-0.05895,0.63143,-0.21677
-1.15415,0.23210,-0.25527,-0.46269,-5.77886,-7.90955,-0.12675,0.07982,-0.07618,-0.05843,0.63017,-0.21750
-0.63481,0.20524,-0.31192,-0.44766,-5.77011,-7.91680,-0.09841,0.18085,-0.08443,-0.05649,0.62906,-0.21857
-0.12192,0.03542,-0.62539,-0.42740,-5.76504,-7.92161,-0.03649,0.20525,-0.06141,-0.05390,0.62842,-0.21954
0.08101,-0.14376,-0.69615,-0.41156,-5.76453,-7.92283,0.01489,0.12306,-0.03003,-0.05190,0.62836,-0.22011
0.15202,-0.05036,-0.43963,-0.40431,-5.76725,-7.92122,0.05214,0.03995,-0.00891,-0.05100,0.62870,-0.22032
0.00514,-0.05917,-0.22212,-0.40183,-5.77161,-7.91817,0.05278,0.02015,-0.00670,-0.05070,0.62925,-0.22038
-0.15696,-0.06415,0.03755,-0.39924,-5.77501,-7.91582,0.03110,0.03308,-0.01135,-0.05039,0.62968,-0.22045
-0.25397,-0.00820,0.24854,-0.39561,-5.77650,-7.91492,0.00561,0.02853,-0.02320,-0.04994,0.62987,-0.22066
-0.27062,0.02241,0.31876,-0.39272,-5.77643,-7.91512,-0.00938,0.00641,-0.02554,-0.04958,0.62986,-0.22097
-0.17288,-0.01768,0.28801,-0.39155,-5.77599,-7.91549,-0.00327,-0.01797,-0.02897,-0.04943,0.62981,-0.22132
-0.04305,-0.05059,0.26178,-0.39165,-5.77585,-7.91559,-0.00322,-0.02912,-0.03151,-0.04944,0.62979,-0.22170
0.04083,-0.05742,0.26780,-0.39218,-5.77575,-7.91563,-0.00224,-0.02794,-0.02909,-0.04950,0.62978,-0.22207
0.17030,-0.07278,0.27738,-0.39206,-5.77536,-7.91593,-0.01224,-0.00404,-0.02382,-0.04949,0.62972,-0.22240
0.24699,-0.07749,0.22410,-0.38974,-5.77409,-7.91697,-0.02184,0.02889,-0.01801,-0.04919,0.62957,-0.22267
0.22182,-0.07000,0.09737,-0.38627,-5.77246,-7.91833,-0.02072,0.03080,-0.01722,-0.04874,0.62936,-0.22290
0.13725,0.00259,0.03435,-0.38296,-5.77127,-7.91935,-0.01143,0.01853,-0.02791,-0.04832,0.62921,-0.22318
0.00777,0.03631,-0.01528,-0.37946,-5.77102,-7.91970,0.00317,0.02213,-0.03863,-0.04788,0.62918,-0.22358
-0.02791,0.06213,-0.07238,-0.37492,-5.77185,-7.91931,0.01247,0.03312,-0.04640,-0.04731,0.62928,-0.22410
0.04633,0.04809,-0.09892,-0.36910,-5.77353,-7.91837,0.02467,0.04975,-0.04308,-0.04658,0.62949,-0.22465
0.12676,-0.00019,-0.16491,-0.36244,-5.77642,-7.91656,0.04269,0.06144,-0.03238,-0.04575,0.62986,-0.22509
0.13874,-0.02380,-0.17624,-0.35586,-5.78005,-7.91422,0.04208,0.07568,-0.02156,-0.04493,0.63032,-0.22539
0.15908,-0.05872,-0.04637,-0.34807,-5.78238,-7.91286,0.01591,0.09208,-0.00138,-0.04396,0.63061,-0.22553
0.19342,-0.12207,0.04928,-0.34321,-5.78263,-7.91289,-0.00682,0.03804,0.02026,-0.04335,0.63064,-0.22541
0.24055,-0.18110,0.02014,-0.34484,-5.78166,-7.91352,-0.01603,-0.03183,0.04267,-0.04355,0.63052,-0.22504
0.25829,-0.18822,-0.01438,-0.35241,-5.78052,-7.91402,-0.00953,-0.06888,0.06660,-0.04450,0.63038,-0.22435
0.21679,-0.16967,-0.03784,-0.36134,-5.77932,-7.91450,-0.01463,-0.04561,0.07598,-0.04562,0.63023,-0.22346
0.11143,-0.14199,-0.06157,-0.36821,-5.77798,-7.91516,-0.01305,-0.01224,0.07814,-0.04649,0.63006,-0.22250
0.00330,-0.10119,-0.05664,-0.37276,-5.77687,-7.91576,-0.00462,-0.00146,0.06497,-0.04706,0.62992,-0.22162
-0.08658,-0.05769,-0.07662,-0.37595,-5.77698,-7.91552,0.01354,-0.00026,0.04633,-0.04746,0.62993,-0.22094
-0.10722,-0.01084,-0.07543,-0.37806,-5.77849,-7.91432,0.03010,0.00560,0.03533,-0.04773,0.63012,-0.22043
-0.05917,0.01449,-0.07099,-0.37897,-5.78137,-7.91217,0.04510,0.01919,0.02963,-0.04786,0.63048,-0.22001
0.00357,0.01734,-0.05901,-0.37946,-5.78543,-7.90919,0.05855,0.01093,0.03008,-0.04794,0.63100,-0.21961
0.05378,0.05033,0.00010,-0.38088,-5.79043,-7.90546,0.07287,-0.00219,0.03283,-0.04814,0.63163,-0.21919
0.02783,0.10025,0.06539,-0.38352,-5.79591,-7.90131,0.06844,-0.01318,0.03109,-0.04850,0.63232,-0.21874
-0.06855,0.08994,0.14021,-0.38575,-5.80086,-7.89757,0.05807,-0.00707,0.01760,-0.04881,0.63295,-0.21840
